Utility Charateristics,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count,Thousands Dollars,Megawatthours,Count
2012,1279,Barry Electric Coop,A,Bundled,O,MO,Cooperative,"10,567.8","114,168","8,389","3,915.1","52,264","1,316","1,282.0","16,034",2,.,.,.,"15,764.9","182,466","9,707"
2012,1283,Bartholomew County Rural E M C,A,Bundled,O,IN,Cooperative,"18,858.2","150,412","10,411","4,218.7","38,758",627,"14,800.9","202,244",10,.,.,.,"37,877.8","391,414","11,048"
2012,1300,City of Bartow - (FL),A,Bundled,O,FL,Municipal,"16,359.0","123,337","9,915","8,505.0","65,148","1,415","8,574.0","66,811",283,.,.,.,"33,438.0","255,296","11,613"
2012,1301,"Barton County Elec Coop, Inc",A,Bundled,O,MO,Cooperative,"9,389.0","75,156","5,044","3,699.0","32,573","1,315","2,661.0","36,734",35,.,.,.,"15,749.0","144,463","6,394"
2012,1307,Basin Electric Power Coop,A,Bundled,O,ND,Cooperative,.,.,.,.,.,.,"58,415.0","1,054,176",1,.,.,.,"58,415.0","1,054,176",1
2012,1307,Basin Electric Power Coop,A,Bundled,O,SD,Cooperative,.,.,.,"1,008.0","9,422",1,.,.,.,.,.,.,"1,008.0","9,422",1
2012,1307,Basin Electric Power Coop,A,Bundled,O,WY,Cooperative,.,.,.,232.0,"4,435",2,.,.,.,.,.,.,232.0,"4,435",2
2012,1325,City of Batavia,A,Bundled,O,IL,Municipal,"10,741.0","98,044","9,515","14,403.0","153,672","1,317","16,440.0","227,056",12,.,.,.,"41,584.0","478,772","10,844"
2012,1366,City of Bay City - (MI),A,Bundled,O,MI,Municipal,"13,685.0","130,619","17,696","13,751.0","139,712","2,227","4,489.0","51,339",160,.,.,.,"31,925.0","321,670","20,083"
2012,1367,"Bayfield Electric Coop, Inc",A,Bundled,O,MI,Cooperative,49.0,173,67,.,.,.,.,.,.,.,.,.,49.0,173,67
2012,1367,"Bayfield Electric Coop, Inc",A,Bundled,O,WI,Cooperative,"11,294.0","66,932","8,732",964.0,"9,839",54,.,.,.,.,.,.,"12,258.0","76,771","8,786"
2012,1417,"Beartooth Electric Coop, Inc",A,Bundled,O,MT,Cooperative,"7,681.0","44,600","4,943","1,125.0","7,810",400,234.0,"2,094",1,.,.,.,"9,040.0","54,504","5,344"
2012,1417,"Beartooth Electric Coop, Inc",A,Bundled,O,WY,Cooperative,686.0,"4,236",359,487.0,"3,368",96,.,.,.,.,.,.,"1,173.0","7,604",455
2012,1427,City of Beatrice - (NE),A,Bundled,O,NE,Municipal,"6,257.0","67,960","5,891","2,283.0","24,187","1,315","6,039.0","81,439",127,.,.,.,"14,579.0","173,586","7,333"
2012,1456,City of Bedford - (VA),A,Bundled,O,VA,Municipal,"8,357.1","79,868","5,656","4,244.6","41,238",857,"6,720.0","95,055",31,.,.,0,"19,321.7","216,161","6,544"
2012,1458,"Beauregard Electric Coop, Inc",A,Bundled,O,LA,Cooperative,"52,390.0","588,396","37,455","23,972.0","396,420","2,989",.,.,.,.,.,.,"76,362.0","984,816","40,444"
2012,1523,Town of Belmont - (MA),A,Bundled,O,MA,Municipal,"11,929.2","72,820","10,292","3,504.8","18,956",862,"4,801.0","34,326",75,.,.,.,"20,235.0","126,102","11,229"
2012,1525,City of Beloit - (KS),A,Bundled,O,KS,Municipal,"2,055.0","16,743","2,299","1,432.0","11,792",472,"1,636.0","18,397",28,.,.,.,"5,123.0","46,932","2,799"
2012,1529,"Beltrami Electric Coop, Inc",A,Bundled,O,MN,Cooperative,"32,557.5","282,953","18,847","8,037.0","76,267","1,428",18.6,92,15,.,.,.,"40,613.1","359,312","20,290"
2012,1566,City of Bennettsville- (SC),A,Bundled,O,SC,Municipal,"5,330.0","46,750","4,064","3,112.0","40,611",533,.,.,.,.,.,.,"8,442.0","87,361","4,597"
2012,1573,City of Benson - (MN),A,Bundled,O,MN,Municipal,"1,367.8","14,970","1,524",451.6,"4,771",260,"1,329.0","16,710",54,0.0,0,0,"3,148.4","36,451","1,838"
2012,1578,Benton County,A,Bundled,O,TN,Municipal,"12,438.0","109,710","8,533","6,962.0","59,343","1,772","2,395.0","27,943",3,0.0,0,0,"21,795.0","196,996","10,308"
2012,1579,PUD No 1 of Benton County,A,Bundled,O,WA,Political Subdivision,"50,678.0","668,018","40,645","33,237.0","520,945","7,341","22,040.0","456,313",724,.,.,.,"105,955.0","1,645,276","48,710"
2012,1581,City of Benton - (AR),A,Bundled,O,AR,Municipal,"15,261.4","136,072","11,069","6,809.5","71,955","1,675","4,133.7","43,392",22,.,.,.,"26,204.6","251,419","12,766"
2012,1582,City of Benton - (KY),A,Bundled,O,KY,Municipal,"2,769.0","25,065","1,862","3,631.0","33,984",638,950.0,"10,515",1,0.0,0,0,"7,350.0","69,564","2,501"
