Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,SERVICE_TYPE,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2013,1251,Barron Electric Coop,A,Bundled,O,WI,Cooperative,MISO,"25,552.9","199,425","17,697","2,551.9","25,121",199,"7,122.7","104,723",132,.,.,.,"35,227.5","329,269","18,028"
2013,1273,"Bartlett Electric Coop, Inc",A,Bundled,O,TX,Cooperative,ERCO,"15,542.2","151,729","9,910","3,399.9","32,931",880,669.5,"8,977",3,.,.,.,"19,611.6","193,637","10,793"
2013,1276,"Barrow Utils & Elec Coop, Inc",A,Bundled,O,AK,Cooperative,NA,"1,431.8","11,865","1,475","4,054.9","38,387",412,.,.,.,.,.,.,"5,486.7","50,252","1,887"
2013,1279,Barry Electric Coop,A,Bundled,O,MO,Cooperative,AECI,"10,969.4","119,516","8,530","4,086.9","51,377","1,302","1,010.9","14,492",2,.,.,.,"16,067.2","185,385","9,834"
2013,1283,Bartholomew County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,"19,633.3","155,324","10,465","3,949.4","36,440",633,"15,407.6","206,574",10,.,.,.,"38,990.3","398,338","11,108"
2013,1300,City of Bartow - (FL),A,Bundled,O,FL,Municipal,FPC,"16,440.0","123,705","10,000","8,530.0","65,649","1,424","8,358.0","65,863",282,.,.,.,"33,328.0","255,217","11,706"
2013,1301,"Barton County Elec Coop, Inc",A,Bundled,O,MO,Cooperative,AECI,"9,604.9","77,255","5,000","4,061.4","35,914","1,384","2,605.2","34,437",39,.,.,.,"16,271.5","147,606","6,423"
2013,1307,Basin Electric Power Coop,A,Bundled,O,ND,Cooperative,WACM,.,.,.,.,.,.,"62,693.0","1,055,095",1,.,.,.,"62,693.0","1,055,095",1
2013,1307,Basin Electric Power Coop,A,Bundled,O,SD,Cooperative,WACM,.,.,.,691.0,"6,312",1,.,.,.,.,.,.,691.0,"6,312",1
2013,1307,Basin Electric Power Coop,A,Bundled,O,WY,Cooperative,PACE,.,.,.,607.0,"11,607",2,.,.,.,.,.,.,607.0,"11,607",2
2013,1325,City of Batavia - (IL),A,Bundled,O,IL,Municipal,PJM,"11,152.2","94,647","9,529","15,981.4","159,889","1,326","16,282.9","196,645",11,.,.,.,"43,416.5","451,181","10,866"
2013,1366,City of Bay City - (MI),A,Bundled,O,MI,Municipal,MISO,"14,299.0","131,977","17,734","13,635.0","134,021","2,225","4,729.0","52,179",138,.,.,.,"32,663.0","318,177","20,097"
2013,1367,"Bayfield Electric Coop, Inc",A,Bundled,O,MI,Cooperative,MISO,48.0,167,66,0.0,0,0,0.0,0,0,0.0,0,0,48.0,167,66
2013,1367,"Bayfield Electric Coop, Inc",A,Bundled,O,WI,Cooperative,MISO,"11,921.0","72,282","8,779",935.0,"9,383",53,.,.,.,.,.,.,"12,856.0","81,665","8,832"
2013,1417,"Beartooth Electric Coop, Inc",A,Bundled,O,MT,Cooperative,NWMT,"7,950.0","45,854","5,003","1,143.0","7,610",315,236.0,"2,162",1,.,.,.,"9,329.0","55,626","5,319"
2013,1417,"Beartooth Electric Coop, Inc",A,Bundled,O,WY,Cooperative,NWMT,702.0,"4,348",367,429.0,"2,961",93,.,.,.,.,.,.,"1,131.0","7,309",460
2013,1427,City of Beatrice - (NE),A,Bundled,O,NE,Municipal,NPPD,"6,295.0","68,139","5,875","2,304.0","24,215","1,308","6,181.0","81,227",125,.,.,.,"14,780.0","173,581","7,308"
2013,1456,Town of Bedford - (VA),A,Bundled,O,VA,Municipal,PJM,"8,866.1","84,051","5,648","4,381.8","42,003",859,"6,180.5","93,422",29,0.0,0,0,"19,428.4","219,476","6,536"
2013,1458,"Beauregard Electric Coop, Inc",A,Bundled,O,LA,Cooperative,MISO,"57,719.0","607,028","37,697","25,815.0","402,947","3,181",.,.,.,.,.,.,"83,534.0","1,009,975","40,878"
2013,1523,Town of Belmont - (MA),A,Bundled,O,MA,Municipal,ISNE,"12,826.0","74,008","10,374","4,315.0","25,494",867,"4,127.0","28,513",33,.,.,.,"21,268.0","128,015","11,274"
2013,1525,City of Beloit - (KS),A,Bundled,O,KS,Municipal,SECI,"2,253.0","17,096","2,303","1,354.0","11,763",473,"1,871.0","17,460",28,.,.,.,"5,478.0","46,319","2,804"
2013,1529,"Beltrami Electric Coop, Inc",A,Bundled,O,MN,Cooperative,MISO,"35,553.2","322,581","18,917","8,163.6","81,892","1,418",5.9,51,16,0.0,0,0,"43,722.7","404,524","20,351"
2013,1566,City of Bennettsville - (SC),A,Bundled,O,SC,Municipal,SC,"5,590.0","45,649","4,096","4,251.0","39,542",535,.,.,.,.,.,.,"9,841.0","85,191","4,631"
